time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,position
34.6439847946167,-1,0,1,0,-1,-3,1,0,1
34.643990993499756,-3,-4,-3,-2,0,0,-4,-6,1
34.65911555290222,-2,-2,-4,-3,-3,0,-3,-1,1
34.65912055969238,2,2,2,3,2,1,0,1,1
34.66738224029541,5,1,3,7,4,3,4,0,1
34.66738700866699,3,3,2,3,5,2,0,1,1
34.68169832229614,-6,-6,-6,-10,-8,-7,-11,-3,1
34.681702613830566,2,4,3,1,1,3,4,-4,1
34.69204926490784,-2,0,-1,-2,2,0,2,-4,1
34.69205570220947,-3,-6,-4,-3,-6,-6,-3,-1,1
34.698545694351196,1,0,0,2,2,-1,-2,2,1
34.69855189323425,-3,-2,-1,-4,-3,-2,-3,1,1
34.712437868118286,2,0,-2,0,1,1,2,2,1
34.712440729141235,0,-2,1,1,2,4,2,1,1
34.718581676483154,0,0,-2,-2,-1,2,5,0,1
34.71858477592468,1,0,-1,-5,-5,-2,-5,0,1
34.72746777534485,0,-1,1,3,2,3,3,3,1
34.72747039794922,1,1,0,2,3,1,-2,4,1
34.73349475860596,-2,-2,-2,-3,-1,0,-2,-4,1
34.733497619628906,-3,-4,-2,-3,-2,-1,-7,-5,1
34.75390553474426,1,1,0,0,0,-2,-3,0,1
34.7539165019989,0,-4,-3,-6,-3,-2,0,-2,1
34.75637245178223,3,4,5,7,4,3,5,5,1
34.75637912750244,-2,-2,1,1,-1,-2,0,-1,1
34.77370810508728,-2,1,0,2,4,0,-1,3,1
34.77371430397034,5,0,1,4,-1,-1,3,-5,1
34.77852654457092,-2,-4,-6,-8,-5,-4,-8,-2,1
34.77852964401245,-2,0,-1,0,0,1,1,1,1
34.78749704360962,-5,-6,-5,-2,-1,-1,1,1,1
34.78750038146973,4,5,1,-5,-3,-1,-6,1,1
34.794076681137085,-3,-4,1,5,2,1,3,1,1
34.79408288002014,-1,-2,-1,2,3,0,-2,1,1
34.811208724975586,-5,-5,-4,-7,-7,-5,-7,-8,1
34.81121492385864,0,3,1,3,2,2,2,6,1
34.82450222969055,-2,-4,-3,-4,-4,-1,-3,-5,1
34.824509143829346,0,-1,-1,0,2,1,2,-1,1
34.83378267288208,0,3,3,2,2,0,0,-2,1
34.833786725997925,-1,-2,0,4,3,1,5,0,1
34.838937282562256,9,6,0,-10,-10,-6,-13,2,1
34.83894228935242,-3,-2,1,0,-3,-2,0,0,1
34.84821963310242,0,1,-2,0,0,-1,0,-2,1
34.84822344779968,-2,-2,1,0,2,-4,-1,-2,1
34.85458421707153,0,1,5,12,9,5,10,8,1
34.854592084884644,0,-1,-7,-9,-7,-4,-11,-10,1
34.871220111846924,4,2,0,-1,-1,1,1,3,1
34.87122440338135,-1,1,1,0,-1,0,-1,3,1
34.876405477523804,-3,-4,-2,0,0,0,4,-3,1
34.87640929222107,2,1,1,-1,0,0,2,0,1
34.89315605163574,0,2,2,6,5,3,0,-5,1
34.89315915107727,0,-4,-7,-16,-14,-5,-4,-4,1
34.89880037307739,-2,0,-1,0,-1,0,-1,0,1
34.89880347251892,2,1,4,6,6,3,5,2,1
34.90814256668091,-3,-2,-1,-3,-6,-1,-2,-3,1
34.908146142959595,-3,-3,-2,0,-1,0,-3,-3,1
34.91385793685913,2,2,0,6,7,5,4,2,1
34.9138617515564,-2,-2,-3,-5,-5,-2,-3,-1,1
34.93100166320801,1,-4,-2,-1,0,3,6,3,1
34.93100666999817,-1,1,3,2,2,0,0,6,1
34.936814308166504,-2,-2,0,2,3,-1,-3,-1,1
34.93681979179382,6,9,5,8,6,3,5,6,1
34.952489614486694,-6,-8,-10,-18,-17,-10,-10,-6,1
34.952492475509644,0,1,1,2,0,-1,0,-2,1
34.95863652229309,-4,-3,0,-2,-2,-2,-2,-8,1
34.95863962173462,-1,-1,2,5,4,1,5,2,1
34.96747827529907,-1,1,-1,-1,0,-2,-8,1,1
34.96748089790344,-3,-2,-1,-1,0,-3,-5,-4,1
34.97362208366394,-1,0,0,3,3,-2,2,0,1
34.97362518310547,-2,-1,0,-3,-4,-4,-5,-2,1
34.99173426628113,0,1,-2,-3,-2,0,1,-2,1
34.99174189567566,-1,-2,3,4,1,-2,-6,-5,1
34.99705171585083,-1,-1,1,-2,-2,-1,-2,4,1
34.997058629989624,-6,-4,-3,-1,-2,0,1,-14,1
35.01416254043579,0,4,-1,-2,-4,-6,-6,-2,1
35.01416897773743,0,2,-1,2,5,3,5,1,1
35.01869487762451,1,-1,-3,-3,-4,-1,1,0,1
35.018699169158936,2,-1,1,2,0,-1,0,0,1
35.02766251564026,-2,-4,-4,-7,-2,5,2,-3,1
35.02766513824463,-3,-3,-4,-8,-9,-6,-7,-5,1
35.04136681556702,-2,0,0,-1,-1,2,2,0,1
35.041369676589966,-1,-4,-2,0,2,-2,0,1,1
35.05002212524414,0,-1,0,0,-1,-1,-1,0,1
35.050023794174194,2,2,1,1,4,4,6,3,1
